City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
580,Kiunga,PG,76.95,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
581,Tahoua,NE,83.43,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
583,Itaituba,BR,78.01,broken clouds,-4.2761,-55.9836,Hotel Campos
585,Erenhot,CN,77.77,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
591,Carauari,BR,79.34,broken clouds,-4.8828,-66.8958,Hotel Fellip
593,Ribeira Grande,PT,75.97,broken clouds,38.5167,-28.7,Quinta da Meia Eira
595,Mujiayingzi,CN,79.16,overcast clouds,42.1167,118.7833,Jinjiang Hotel
598,Aklavik,CA,77.0,broken clouds,68.2191,-135.0107,Aklavik Inn
600,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
602,Labuhan,ID,75.56,scattered clouds,-6.8844,112.2051,DoubleFAG
603,Roquebrune-Cap-Martin,FR,80.51,scattered clouds,43.7641,7.4821,Le Méridien Beach Plaza
604,Bacabal,BR,77.63,broken clouds,-4.2917,-44.7917,Rancho Sol Nascente
608,Xianyang,CN,86.72,few clouds,34.3378,108.7026,铁路大厦
609,Fredericksburg,US,76.32,heavy intensity rain,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
612,Milledgeville,US,87.94,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
613,Merauke,ID,80.46,overcast clouds,-8.4667,140.3333,
619,Kolokani,ML,77.49,light rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
620,Narsipatnam,IN,77.31,overcast clouds,17.6667,82.6167,Lodge Vooda Residency AC
621,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
622,Cassilandia,BR,75.87,clear sky,-19.1133,-51.7342,Delirius Motel
624,Fare,PF,77.11,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
625,Silifke,TR,80.22,clear sky,36.3778,33.9344,Ayatekla Hotel
627,Pochutla,MX,81.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
629,Dutse,NG,75.11,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
631,Larap,PH,79.09,overcast clouds,14.299,122.6504,Montemayor Cove
634,Salinopolis,BR,78.64,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
640,Dhidhdhoo,MV,80.01,overcast clouds,6.8833,73.1,Dhidhoo beach
642,Waddan,LY,81.07,clear sky,29.1614,16.139,محل الشريف محمد العايب
645,Jibuti,DJ,80.46,moderate rain,11.5,42.5,Orchid Main Camp Goubet
648,Mayo,US,78.98,moderate rain,38.8876,-76.5119,Resorts Resource Group International
649,Consuelo,PH,81.77,light rain,10.6348,124.301,Mangodlong Paradise Beach Resort
654,Hibbing,US,81.91,scattered clouds,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
655,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
656,Ugoofaaru,MV,80.51,overcast clouds,5.6667,73.0,Ungoofaaru Inn
657,Korla,CN,83.19,overcast clouds,41.7597,86.1469,Gulisitan Hotel
660,Alyangula,AU,79.9,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
662,Beidao,CN,77.27,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
663,Mbini,GQ,75.87,overcast clouds,1.574,9.6134,
664,Makat,KZ,77.32,few clouds,47.6469,53.3463,Umit
667,Termini Imerese,IT,83.37,clear sky,37.9837,13.6956,Hotel Piccolo
670,Fuyu,CN,76.71,few clouds,45.1833,124.8167,Education Hostel
673,Namatanai,PG,83.52,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
674,Filingue,NE,85.44,broken clouds,14.3521,3.3168,
675,Ascension,US,83.01,clear sky,30.2169,-90.9001,Highland Inn
677,Inuvik,CA,77.7,scattered clouds,68.3499,-133.7218,Nova Inn Inuvik
678,San Francisco,US,81.52,broken clouds,37.7749,-122.4194,Edwardian Hotel
679,Wyszkow,PL,77.14,scattered clouds,52.5928,21.4584,PPUH Bias Sp. z. o. o.
680,Jacareacanga,BR,85.59,broken clouds,-6.2222,-57.7528,Casa do Ian😎
681,Nicoya,CR,76.64,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
685,Mackay,AU,78.67,few clouds,-21.15,149.2,International Lodge Motel
689,Senador Jose Porfirio,BR,77.58,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
690,Angoram,PG,79.95,overcast clouds,-4.0625,144.0661,
694,Lishui,CN,87.31,overcast clouds,28.4604,119.9103,Bayi Hotel
