City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
333,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,90,100,5.41,light rain
334,Hamilton,US,39.1834,-84.5333,82.35,81,20,9.22,few clouds
335,Campbeltown,GB,55.4258,-5.6076,55.45,78,76,9.89,broken clouds
336,Kidal,ML,18.4411,1.4078,91.94,36,1,8.23,clear sky
337,Sao Goncalo Do Amarante,BR,-3.6072,-38.9683,80.13,84,9,5.46,clear sky
338,Clyde River,CA,70.4692,-68.5914,48.43,66,0,12.66,clear sky
339,Muswellbrook,AU,-32.2667,150.9,60.24,62,3,11.79,clear sky
340,Ziniare,BF,12.5822,-1.2983,78.84,82,93,8.14,overcast clouds
341,Chadiza,ZM,-14.0678,32.4392,58.32,52,0,1.88,clear sky
342,Salekhard,RU,66.53,66.6019,58.37,90,40,7.23,scattered clouds
343,Bud,US,39.447,-86.1758,82.9,84,26,6.6,scattered clouds
344,Ranong,TH,9.9658,98.6348,78.73,87,98,10.65,overcast clouds
345,Udalguri,IN,26.7667,92.1333,77.85,94,79,4.27,broken clouds
